FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-431.543688;-;-;-;-30.750000;-29.212000;-;
0;-;0.300000;-433.274183;-;-;-;-30.750000;-29.212000;-;
0;-;0.500000;-434.427847;-;-;-;-30.750000;-29.212000;-;
0;-;0.700000;-435.581510;-;-;-;-30.750000;-29.212000;-;
0;-;1.000000;-437.312005;-;-;-;-30.750000;-29.212000;-;
1;0;0.000000;-432.696977;-;-;-;-30.750000;-29.212000;-;
1;1;0.500000;-434.211893;-;-;-;-30.750000;-29.212000;-;
1;1;2.000000;-433.587483;-;-;-;-30.750000;-29.212000;-;
1;1;5.000000;-432.595697;-;-;-;-30.750000;-29.212000;-;
1;1;10.000000;-431.817086;-;-;-;-30.750000;-29.212000;-;
1;2;0.500000;-432.938354;-;-;-;-30.750000;-29.212000;-;
1;2;2.000000;-433.742455;-;-;-;-30.750000;-29.212000;-;
1;2;5.000000;-435.214000;-;-;-;-30.750000;-29.212000;-;
1;2;10.000000;-436.531067;-;-;-;-30.750000;-29.212000;-;
1;3;0.500000;-432.478530;-;-;-;-30.750000;-29.212000;-;
1;3;2.000000;-431.987554;-;-;-;-30.750000;-29.212000;-;
1;3;5.000000;-431.610891;-;-;-;-30.750000;-29.212000;-;
1;3;10.000000;-431.545360;-;-;-;-30.750000;-29.212000;-;
1;4;2.000000;-433.619682;-;-;-;-30.750000;-29.212000;-;
1;4;5.000000;-435.421075;-;-;-;-30.750000;-29.212000;-;
1;4;10.000000;-436.692133;-;-;-;-30.750000;-29.212000;-;
1;5;2.000000;-431.774271;-;-;-;-30.750000;-29.212000;-;
1;5;5.000000;-431.545531;-;-;-;-30.750000;-29.212000;-;
1;5;10.000000;-431.543689;-;-;-;-30.750000;-29.212000;-;
2;0;0/0.000000;-434.603561;0.000017;0.869098;1.000055;-30.750000;-29.473255;0.000001;
2;1;-1/1.000000;-434.458051;0.000018;0.879894;1.000074;-30.750000;-29.468109;0.000001;
2;2;-1/0.500000;-434.568551;0.000018;0.870681;1.000051;-30.750000;-29.471964;0.000001;
2;2;-1/2.000000;-434.460148;0.000018;0.877287;1.000074;-30.750000;-29.467606;0.000001;
2;2;-1/5.000000;-434.232848;0.000019;0.878262;1.000072;-30.750000;-29.457339;0.000001;
2;2;-1/10.000000;-433.848231;0.000018;0.868976;1.000082;-30.750000;-29.436773;0.000001;
2;2;-1/20.000000;-433.213520;0.000012;0.814574;1.000076;-30.750000;-29.393179;0.000001;
2;2;-1/40.000000;-432.589903;0.000005;0.606372;1.000046;-30.750000;-29.334516;0.000000;
2;2;-1/80.000000;-432.133080;0.000003;0.357406;1.000050;-30.750000;-29.280877;0.000000;
2;3;-1/1.000000;-434.214141;0.000017;0.881435;1.000071;-30.750000;-29.458332;0.000001;
2;3;-1/2.000000;-434.079654;0.000017;0.876531;1.000103;-30.750000;-29.451691;0.000001;
2;3;-1/5.000000;-433.730948;0.000015;0.860404;1.000144;-30.750000;-29.431329;0.000001;
2;3;-1/10.000000;-433.302630;0.000011;0.833590;1.000089;-30.750000;-29.402077;0.000001;
2;3;-1/20.000000;-432.837095;0.000006;0.722811;1.000054;-30.750000;-29.361955;0.000001;
2;4;-1/1.000000;-434.451731;0.000017;0.881944;1.000075;-30.750000;-29.468471;0.000001;
2;4;-1/2.000000;-434.526763;0.000017;0.876739;1.000064;-30.750000;-29.471038;0.000001;
2;4;-1/5.000000;-434.572934;0.000017;0.871145;1.000053;-30.750000;-29.472391;0.000001;
2;4;-1/10.000000;-434.588397;0.000017;0.869137;1.000053;-30.750000;-29.472789;0.000001;
2;4;-1/20.000000;-434.596015;0.000017;0.868924;1.000055;-30.750000;-29.473022;0.000001;

