FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-290.000000;-;-;-;0.000000;0.000000;-;
0;-;0.300000;-319.769000;-;-;-;0.000000;0.492000;-;
0;-;0.500000;-339.615000;-;-;-;0.000000;0.820000;-;
0;-;0.700000;-359.461000;-;-;-;0.000000;1.148000;-;
0;-;1.000000;-389.230000;-;-;-;0.000000;1.640000;-;
1;0;0.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;1;0.500000;-333.445226;-;-;-;0.000000;0.718031;-;
1;1;2.000000;-316.687057;-;-;-;0.000000;0.441064;-;
1;1;5.000000;-297.527407;-;-;-;0.000000;0.124407;-;
1;1;10.000000;-290.664132;-;-;-;0.000000;0.010976;-;
1;2;0.500000;-290.000000;-;-;-;0.000000;0.000000;-;
1;2;2.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;2;5.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;2;10.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;3;0.500000;-290.000000;-;-;-;0.000000;0.000000;-;
1;3;2.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;3;5.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;3;10.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;4;2.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;4;5.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;4;10.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;5;2.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;5;5.000000;-290.000000;-;-;-;0.000000;0.000000;-;
1;5;10.000000;-290.000000;-;-;-;0.000000;0.000000;-;
2;0;0/0.000000;-340.076821;0.020290;0.972772;0.999974;0.000000;0.817373;0.000006;
2;1;-1/1.000000;-324.145437;0.013454;0.992652;0.999990;0.000000;0.812330;0.000006;
2;2;-1/0.500000;-336.149944;0.019698;0.989815;0.999984;0.000000;0.816130;0.000006;
2;2;-1/2.000000;-325.220978;0.016651;0.989836;0.999992;0.000000;0.811573;0.000006;
2;2;-1/5.000000;-310.690004;0.008237;0.995408;1.000000;0.000000;0.798896;0.000006;
2;2;-1/10.000000;-301.438764;0.002550;0.985617;1.000009;0.000000;0.777299;0.000006;
2;2;-1/20.000000;-296.382238;0.000652;0.959997;1.000037;0.000000;0.735447;0.000006;
2;2;-1/40.000000;-293.729993;0.000179;0.666781;1.000103;0.000000;0.653388;0.000008;
2;2;-1/80.000000;-292.220254;0.000092;0.249149;1.000159;0.000000;0.511938;0.000017;
2;3;-1/1.000000;-316.007078;0.009103;0.995554;0.999990;0.000000;0.807833;0.000006;
2;3;-1/2.000000;-311.110218;0.006475;0.997351;0.999989;0.000000;0.802839;0.000006;
2;3;-1/5.000000;-303.755594;0.002987;0.988488;1.000007;0.000000;0.789166;0.000006;
2;3;-1/10.000000;-299.009915;0.001260;0.974187;1.000033;0.000000;0.768703;0.000006;
2;3;-1/20.000000;-295.644275;0.000441;0.935877;1.000048;0.000000;0.725577;0.000006;
2;4;-1/1.000000;-324.145437;0.013454;0.992652;0.999990;0.000000;0.812330;0.000006;
2;4;-1/2.000000;-330.604301;0.016572;0.991037;0.999985;0.000000;0.814259;0.000006;
2;4;-1/5.000000;-335.826084;0.018639;0.990873;0.999986;0.000000;0.815831;0.000006;
2;4;-1/10.000000;-337.863098;0.019641;0.973312;0.999980;0.000000;0.816480;0.000006;
2;4;-1/20.000000;-338.948234;0.019976;0.972940;0.999976;0.000000;0.816876;0.000006;

